serial,00bkg,01body,02cheeks,03eye,04beak,05face,06hat,07clothes,dna
0,bkg05,body01,cheeks10,Eye14,Beak02,NONE,hat33,clothes75,bkg05--body01--cheeks10--Eye14--Beak02--NONE--hat33--clothes75
1,bkg07,body01,cheeks11,Eye08,Beak09,NONE,hat28,clothes67,bkg07--body01--cheeks11--Eye08--Beak09--NONE--hat28--clothes67
2,bkg03,body01,cheeks11,Eye01,Beak02,NONE,hat23,clothes11,bkg03--body01--cheeks11--Eye01--Beak02--NONE--hat23--clothes11
3,bkg02,body01,cheeks11,Eye30,Beak02,NONE,hat07,clothes21,bkg02--body01--cheeks11--Eye30--Beak02--NONE--hat07--clothes21
4,bkg06,body01,NONE,Eye05,Beak01,face01,hat02,NONE,bkg06--body01--NONE--Eye05--Beak01--face01--hat02--NONE
5,bkg06,body01,cheeks11,Eye12,Beak06,face01,hat01,clothes19,bkg06--body01--cheeks11--Eye12--Beak06--face01--hat01--clothes19
6,bkg07,body01,cheeks12,Eye06,Beak12,NONE,hat41,clothes15,bkg07--body01--cheeks12--Eye06--Beak12--NONE--hat41--clothes15
7,bkg01,body01,cheeks10,Eye02,Beak10,face05,hat52,clothes22,bkg01--body01--cheeks10--Eye02--Beak10--face05--hat52--clothes22
8,bkg03,body01,cheeks03,Eye15,Beak12,NONE,hat06,clothes58,bkg03--body01--cheeks03--Eye15--Beak12--NONE--hat06--clothes58
9,bkg05,body01,NONE,Eye08,Beak04,NONE,hat04,clothes51,bkg05--body01--NONE--Eye08--Beak04--NONE--hat04--clothes51
10,bkg05,body01,cheeks11,Eye11,Beak05,NONE,hat83,clothes12,bkg05--body01--cheeks11--Eye11--Beak05--NONE--hat83--clothes12
11,bkg01,body01,NONE,Eye19,Beak02,NONE,NONE,clothes77,bkg01--body01--NONE--Eye19--Beak02--NONE--NONE--clothes77
12,bkg01,body01,cheeks10,Eye11,Beak11,face03,hat83,clothes34,bkg01--body01--cheeks10--Eye11--Beak11--face03--hat83--clothes34
13,bkg02,body01,cheeks13,Eye23,Beak10,NONE,hat08,clothes31,bkg02--body01--cheeks13--Eye23--Beak10--NONE--hat08--clothes31
14,bkg03,body01,NONE,Eye24,Beak01,NONE,hat63,clothes28,bkg03--body01--NONE--Eye24--Beak01--NONE--hat63--clothes28
15,bkg03,body01,NONE,Eye13,Beak10,face01,NONE,clothes47,bkg03--body01--NONE--Eye13--Beak10--face01--NONE--clothes47
16,bkg04,body01,cheeks07,Eye25,Beak05,face05,hat71,clothes45,bkg04--body01--cheeks07--Eye25--Beak05--face05--hat71--clothes45
17,bkg06,body01,NONE,Eye12,Beak05,NONE,hat29,clothes33,bkg06--body01--NONE--Eye12--Beak05--NONE--hat29--clothes33
18,bkg01,body01,cheeks10,Eye07,Beak02,face10,NONE,clothes15,bkg01--body01--cheeks10--Eye07--Beak02--face10--NONE--clothes15
